"","studyName","studySub","site","subSiteID","Scale","fitSlope"
"1","Beldade","Beldade","Arrabida","Beldade_Arrabida_S","gamma",0.0154963053916926
"2","Birkeland","Birkeland","SC","Birkeland_SC_R","alpha",0.00475240246201472
"3","Birkeland","Birkeland","SC","Birkeland_SC_S","gamma",0.0036306693068364
"4","Carballo","Carballo","Venados","Carballo_Venados_R","alpha",-0.00905786729929005
"5","Cardoso","Cardoso","Eutrophic","Cardoso_Eutrophic_S","gamma",0.0472595953513263
"6","Cardoso","Cardoso","Intermediate","Cardoso_Intermediate_S","gamma",0.0369873282402394
"7","Cardoso","Cardoso","Zostera","Cardoso_Zostera_S","gamma",0.0160161585368703
"8","Dittmann","Dittmann","HCA","Dittmann_HCA_R","alpha",-0.0172521337934585
"9","Dittmann","Dittmann","HCB","Dittmann_HCB_R","alpha",-0.0120834977263593
"10","Edmunds","Edmunds","Cabritte","Edmunds_Cabritte_R","alpha",0.00181584399882995
"11","Edmunds","Edmunds","Cabritte","Edmunds_Cabritte_S","gamma",0.00361020953428434
"12","Edmunds","Edmunds","EastTektite","Edmunds_EastTektite_R","alpha",0.0145341169362739
"13","Edmunds","Edmunds","EastTektite","Edmunds_EastTektite_S","gamma",0.0155804483396333
"14","Edmunds","Edmunds","Europa","Edmunds_Europa_R","alpha",0.0102041806393591
"15","Edmunds","Edmunds","Europa","Edmunds_Europa_S","gamma",0.03580556672082
"16","Edmunds","Edmunds","NeptunesTable","Edmunds_NeptunesTable_R","alpha",0.0108534269969107
"17","Edmunds","Edmunds","NeptunesTable","Edmunds_NeptunesTable_S","gamma",0.0429698500770152
"18","Edmunds","Edmunds","WestLittleLameshur","Edmunds_WestLittleLameshur_R","alpha",0.00853659098156108
"19","Edmunds","Edmunds","WestLittleLameshur","Edmunds_WestLittleLameshur_S","gamma",0.020699464637301
"20","Edmunds","Edmunds","WhitePoint","Edmunds_WhitePoint_R","alpha",0.015694890872532
"21","Edmunds","Edmunds","WhitePoint","Edmunds_WhitePoint_S","gamma",0.0152591290811185
"22","Elahi","Elahi_Qmob","ON","Elahi_Qmob_ON_R","alpha",0.0164636775713688
"23","Elahi","Elahi_Qmob","ON","Elahi_Qmob_ON_S","gamma",0.0123245253339743
"24","Elahi","Elahi_Qmob","PG","Elahi_Qmob_PG_R","alpha",0.0213857725193304
"25","Elahi","Elahi_Qmob","PG","Elahi_Qmob_PG_S","gamma",0.0205201244198345
"26","Elahi","Elahi_Qmob","SC","Elahi_Qmob_SC_R","alpha",0.0151826043698072
"27","Elahi","Elahi_Qmob","SC","Elahi_Qmob_SC_S","gamma",0.0129096142055405
"28","Elahi","Elahi_Qsess","ON","Elahi_Qsess_ON_R","alpha",0.00257245867254852
"29","Elahi","Elahi_Qsess","ON","Elahi_Qsess_ON_S","gamma",0.00342722551924689
"30","Elahi","Elahi_Qsess","PG","Elahi_Qsess_PG_R","alpha",0.0129607053580123
"31","Elahi","Elahi_Qsess","PG","Elahi_Qsess_PG_S","gamma",0.0113049278319235
"32","Elahi","Elahi_Qsess","SC","Elahi_Qsess_SC_R","alpha",0.0108694057416581
"33","Elahi","Elahi_Qsess","SC","Elahi_Qsess_SC_S","gamma",0.0157067441348974
"34","Elahi","Elahi_Tmob","ON","Elahi_Tmob_ON_R","alpha",0.0194656977964049
"35","Elahi","Elahi_Tmob","ON","Elahi_Tmob_ON_S","gamma",0.0110051580156675
"36","Elahi","Elahi_Tmob","PG","Elahi_Tmob_PG_R","alpha",0.00857149456006071
"37","Elahi","Elahi_Tmob","PG","Elahi_Tmob_PG_S","gamma",0.020804620362412
"38","Elahi","Elahi_Tmob","SC","Elahi_Tmob_SC_R","alpha",0.0254907576888569
"39","Elahi","Elahi_Tmob","SC","Elahi_Tmob_SC_S","gamma",0.0196818119216411
"40","FriedHawaii","FriedHawaii","HanaleiBay","FriedHawaii_HanaleiBay_S","gamma",0.00472226430152923
"41","Gooday","Gooday_split","PAP","Gooday_split_PAP_S","gamma",-0.017575473738741
"42","Gooday","Gooday_whole","PAP","Gooday_whole_PAP_S","gamma",-0.0228232486629406
"43","HernandezMiranda","HernandezMiranda","ColiumoBay","HernandezMiranda_ColiumoBay_S","gamma",0.0214278891257977
"44","IbarraObando","IbarraObando","Non-tidal","IbarraObando_Non-tidal_S","gamma",0.00139448193015708
"45","IbarraObando","IbarraObando","Tidal","IbarraObando_Tidal_S","gamma",-0.00957716969953669
"46","IMOS","IMOS","Darwin","IMOS_Darwin_S","gamma",-0.00150333127914649
"47","IMOS","IMOS","Esperance","IMOS_Esperance_S","gamma",0.00751011572411104
"48","IMOS","IMOS","Kangaroo Island","IMOS_Kangaroo Island_S","gamma",0.0107143316686849
"49","IMOS","IMOS","Maria Island","IMOS_Maria Island_S","gamma",0.00972134362446737
