"","predictionChanges","nChanges","variable","value"
"1","1",1,"overall",0.00201190869544488
"2","1",1,"overall",0.0393364435204917
"3","1",1,"overall",0.00399513309168797
"4","1",1,"overall",0.0346440267241501
"5","1",1,"overall",0.00234837846664293
"6","1",1,"overall",0.0330291356623167
"7","1",1,"overall",0.00553492932375632
"8","1",1,"overall",0.00176002841366207
"9","1",1,"overall",0.00273790201405821
"10","1",1,"overall",0.0155934581546938
"11","2",2,"overall",0.000706764524921577
"12","2",2,"overall",0.00996196763926671
"13","2",2,"overall",0.00908015773454562
"14","2",2,"overall",0.00962110560823148
"15","2",2,"overall",0.0344164358736794
"16","2",2,"overall",0.00219582676396302
"17","2",2,"overall",0.00313836473153262
"18","2",2,"overall",0.0798516311237336
"19","2",2,"overall",0.00298373222457382
"20","2",2,"overall",0.000759382266397379
"21","3",3,"overall",0.000295913317286178
"22","3",3,"overall",0.00328996162953543
"23","3",3,"overall",0.00945680481977607
"24","3",3,"overall",0.00119520803056683
"25","3",3,"overall",0.00131850423633773
"26","3",3,"overall",0.00124277286698371
"27","3",3,"overall",0.00310983132803411
"28","3",3,"overall",0.0429990573585812
"29","3",3,"overall",0.0749345538900529
"30","3",3,"overall",0.013118027370967
"31","4",4,"overall",0.040881841398335
"32","4",4,"overall",0.0145167080679478
"33","4",4,"overall",0.00496933776063679
"34","4",4,"overall",0.0257669327507897
"35","4",4,"overall",0.0110528599937934
"36","4",4,"overall",0.027991813665257
"37","4",4,"overall",0.00669605135152662
"38","4",4,"overall",0.0324787648593645
"39","4",4,"overall",0.0292336182802505
"40","4",4,"overall",0.0279400232869063
"41","5",5,"overall",0.008643986622202
"42","5",5,"overall",0.0155482446145332
"43","5",5,"overall",0.0159875288604421
"44","5",5,"overall",0.139678762048651
"45","5",5,"overall",0.00523962683265888
"46","5",5,"overall",0.0577814167941345
"47","5",5,"overall",0.00287364906546417
"48","5",5,"overall",0.00842374119448597
"49","5",5,"overall",0.00363571848534761
"50","5",5,"overall",0.0236577380535187
"51","6",6,"overall",0.0176133975706605
"52","6",6,"overall",0.0232598111585016
"53","6",6,"overall",0.00429944413772565
"54","6",6,"overall",0.00774653456763674
"55","6",6,"overall",0.0723857595180941
"56","6",6,"overall",0.0147228791318259
"57","6",6,"overall",0.0315243289224949
"58","6",6,"overall",0.114984436839845
"59","6",6,"overall",0.0146311739984629
"60","6",6,"overall",0.0694632068208991
"61","7",7,"overall",0.0591894163764298
"62","7",7,"overall",0.0815249606845154
"63","7",7,"overall",0.00231351760066323
"64","7",7,"overall",0.00864788438620523
"65","7",7,"overall",0.245016369094823
"66","7",7,"overall",0.0012149541382247
"67","7",7,"overall",0.00760256716077534
"68","7",7,"overall",0.00396236869552413
"69","7",7,"overall",4.61525310151423e-05
"70","7",7,"overall",0.00419596806687661
"71","8",8,"overall",0.117330549011589
"72","8",8,"overall",0.00823022144668528
"73","8",8,"overall",0.0302728373147911
"74","8",8,"overall",0.0487288941482048
"75","8",8,"overall",0.0996871365172558
"76","8",8,"overall",0.023862786760333
"77","8",8,"overall",0.036338307944956
"78","8",8,"overall",0.368658156590738
"79","8",8,"overall",0.0264438267153297
"80","8",8,"overall",0.0207620511515695
"81","9",9,"overall",0.469135321469667
"82","9",9,"overall",0.0017870413709844
"83","9",9,"overall",0.069894999614787
"84","9",9,"overall",0.00877379431476122
"85","9",9,"overall",0.0351848774364076
"86","9",9,"overall",0.0843920480576699
"87","9",9,"overall",0.0202367674723418
"88","9",9,"overall",0.00138485773919972
"89","9",9,"overall",0.181821242755008
"90","9",9,"overall",0.00133477737757826
"91","10",10,"overall",0.00460949967875224
"92","10",10,"overall",0.000481347710452051
"93","10",10,"overall",0.00226908252008917
"94","10",10,"overall",0.00794627582233343
"95","10",10,"overall",0.000603109632854038
"96","10",10,"overall",0.00932285768355334
"97","10",10,"overall",0.00368994129752698
"98","10",10,"overall",0.0115605725127592
"99","10",10,"overall",0.00130144109081598
"100","10",10,"overall",0.00551635460815492
"101","11",11,"overall",0.0163529598904305
"102","11",11,"overall",0.00345554301215767
"103","11",11,"overall",0.0487299333977806
"104","11",11,"overall",0.126869909666388
"105","11",11,"overall",0.000515823191998388
"106","11",11,"overall",0.0362445404157978
"107","11",11,"overall",0.119775670883943
"108","11",11,"overall",0.0210276169932184
"109","11",11,"overall",0.000231576084693819
"110","11",11,"overall",0.00538732004670817
"111","12",12,"overall",0.0528127905090408
"112","12",12,"overall",0.000227297913355518
"113","12",12,"overall",0.0266674746833087
"114","12",12,"overall",0.0191370431941297
"115","12",12,"overall",0.0124429600567845
"116","12",12,"overall",0.161621868788707
"117","12",12,"overall",0.0352422187352477
"118","12",12,"overall",0.902265432214693
"119","12",12,"overall",0.472334816094432
"120","12",12,"overall",0.154699672011462
"121","13",13,"overall",0.566590603593624
"122","13",13,"overall",0.00250862085002945
"123","13",13,"overall",0.0395134082455139
"124","13",13,"overall",0.127516835788219
"125","13",13,"overall",0.00332891167197147
"126","13",13,"overall",0.00119945769787977
"127","13",13,"overall",0.00453894527037302
"128","13",13,"overall",0.62108913640627
"129","13",13,"overall",0.0294968006634475
"130","13",13,"overall",0.0354117961836828
"131","1",1,"negative",0.0571624080233337
"132","1",1,"negative",0.144352694761721
"133","1",1,"negative",0.16984715170285
"134","1",1,"negative",0.144798085636507
"135","1",1,"negative",0.100132740612174
"136","1",1,"negative",0.154426571798042
"137","1",1,"negative",0.134222990401036
"138","1",1,"negative",0.0887689637256125
"139","1",1,"negative",0.0895455838723954
"140","1",1,"negative",0.131969455688855
"141","2",2,"negative",0.0173995245492583
"142","2",2,"negative",0.0771247662600682
"143","2",2,"negative",0.134518420978667
"144","2",2,"negative",0.126007094480555
"145","2",2,"negative",0.135918567159989
"146","2",2,"negative",0.0851660637275845
"147","2",2,"negative",0.0215027998874822
"148","2",2,"negative",0.629937315767204
"149","2",2,"negative",0.129143488158408
"150","2",2,"negative",0.0174305086116898
"151","3",3,"negative",0.0213075025329758
"152","3",3,"negative",0.275990875045963
"153","3",3,"negative",0.620937181085716
"154","3",3,"negative",0.0170690628547107
"155","3",3,"negative",0.0343290624437364
"156","3",3,"negative",0.0232373538063119
"157","3",3,"negative",0.050872627632568
"158","3",3,"negative",0.249019969373224
"159","3",3,"negative",0.23310557046893
"160","3",3,"negative",0.102326584126782
"161","4",4,"negative",0.0878266382216274
"162","4",4,"negative",0.148808380277935
"163","4",4,"negative",0.00601056471992014
"164","4",4,"negative",0.087868643149205
"165","4",4,"negative",0.214895197833466
"166","4",4,"negative",0.0912389716041779
"167","4",4,"negative",0.0712932241251677
"168","4",4,"negative",0.150419235648389
"169","4",4,"negative",0.198666925327837
"170","4",4,"negative",0.078617366869242
"171","5",5,"negative",0.0790013916684439
"172","5",5,"negative",0.170647593308935
"173","5",5,"negative",0.0168404678967482
"174","5",5,"negative",0.237776108540191
"175","5",5,"negative",0.027949189079277
"176","5",5,"negative",0.0811547043005902
"177","5",5,"negative",0.193025929464845
"178","5",5,"negative",0.0294457410557165
"179","5",5,"negative",0.0157144464193808
"180","5",5,"negative",0.201485556273192
"181","6",6,"negative",0.0865448277525243
"182","6",6,"negative",0.199288799117364
"183","6",6,"negative",0.246510987273682
"184","6",6,"negative",0.0119532038329798
"185","6",6,"negative",0.414940141336317
"186","6",6,"negative",0.0115618104336427
"187","6",6,"negative",0.190667200488929
"188","6",6,"negative",0.0469492194418487
"189","6",6,"negative",0.144948212737295
"190","6",6,"negative",0.0801898749372694
"191","7",7,"negative",0.220928660661537
"192","7",7,"negative",0.141840764733642
"193","7",7,"negative",0.0043469374249788
"194","7",7,"negative",0.126153049588265
"195","7",7,"negative",0.206668900986523
"196","7",7,"negative",0.0312587733114842
"197","7",7,"negative",0.0377079426707828
"198","7",7,"negative",0.0110778507203047
"199","7",7,"negative",0.012232282817756
"200","7",7,"negative",0.0622437764378053
"201","8",8,"negative",0.25102926066073
"202","8",8,"negative",0.047823888747895
"203","8",8,"negative",0.113154773347641
"204","8",8,"negative",0.279583478953332
"205","8",8,"negative",0.0618413165835398
"206","8",8,"negative",0.125364222278949
"207","8",8,"negative",0.0236280005319549
"208","8",8,"negative",0.575613076659606
"209","8",8,"negative",0.0237476411843742
"210","8",8,"negative",0.891027216659901
"211","9",9,"negative",0.624296750743635
"212","9",9,"negative",0.000547288944593077
"213","9",9,"negative",0.671523428741793
"214","9",9,"negative",0.0215088198613285
"215","9",9,"negative",0.180367501853624
"216","9",9,"negative",0.0512970733566144
"217","9",9,"negative",0.0453040098605626
"218","9",9,"negative",0.238399178109793
"219","9",9,"negative",0.766486484887163
"220","9",9,"negative",0.0583473502655524
"221","10",10,"negative",0.00984704944114355
"222","10",10,"negative",0.0162959862725899
"223","10",10,"negative",0.00183565041643294
"224","10",10,"negative",0.0936032209506081
"225","10",10,"negative",0.0201793096926947
"226","10",10,"negative",0.0802620689876118
"227","10",10,"negative",0.007561030042636
"228","10",10,"negative",0.0409539842752749
"229","10",10,"negative",0.0014338411104058
"230","10",10,"negative",0.156416516275543
"231","11",11,"negative",0.12610677302852
"232","11",11,"negative",0.0350445276227462
"233","11",11,"negative",0.156240231916506
"234","11",11,"negative",0.604958775440844
"235","11",11,"negative",0.013311250172223
"236","11",11,"negative",0.0251973474939239
"237","11",11,"negative",0.0701459944769705
"238","11",11,"negative",0.0589710347211314
"239","11",11,"negative",0.0062235732471925
"240","11",11,"negative",0.0102139724697335
"241","12",12,"negative",0.0847233348975986
"242","12",12,"negative",0.00111173718798614
"243","12",12,"negative",0.0642471329806416
"244","12",12,"negative",0.139252146234302
"245","12",12,"negative",0.0651902356921224
"246","12",12,"negative",0.343337240680938
"247","12",12,"negative",0.103400307692627
"248","12",12,"negative",0.88162744354506
"249","12",12,"negative",0.707482906398604
"250","12",12,"negative",0.116030182137327
"251","13",13,"negative",0.507441627456615
"252","13",13,"negative",0.0365555003632489
"253","13",13,"negative",0.158013644427377
"254","13",13,"negative",0.0466264396785595
"255","13",13,"negative",0.0102806484017208
"256","13",13,"negative",0.0731770101848424
"257","13",13,"negative",0.00207296201818367
"258","13",13,"negative",0.405396317314268
"259","13",13,"negative",0.13648848351976
"260","13",13,"negative",0.136149680328072
"261","1",1,"positive",0.000883963431179414
"262","1",1,"positive",0.0277025521428099
"263","1",1,"positive",0.000971371475377502
"264","1",1,"positive",0.00852616613812973
"265","1",1,"positive",0.000775466760786578
"266","1",1,"positive",0.0129136464641825
"267","1",1,"positive",0.00140586028085671
"268","1",1,"positive",0.000692230918542184
"269","1",1,"positive",0.000927702939849062
"270","1",1,"positive",0.00578432118270533
"271","2",2,"positive",0.000740010041978023
"272","2",2,"positive",0.00924159042350725
"273","2",2,"positive",0.00247058219903625
"274","2",2,"positive",0.00176835143180951
"275","2",2,"positive",0.0121173113190471
"276","2",2,"positive",0.000832101420144479
"277","2",2,"positive",0.00652580658952404
"278","2",2,"positive",0.0104224874741883
"279","2",2,"positive",0.00203009906090341
"280","2",2,"positive",0.000785540270465311
"281","3",3,"positive",0.000630663743058433
"282","3",3,"positive",0.00089251967425821
"283","3",3,"positive",0.00108338902852279
"284","3",3,"positive",0.0014971100999207
"285","3",3,"positive",0.000848259329169607
"286","3",3,"positive",0.00199761325375909
"287","3",3,"positive",0.00139844741707972
"288","3",3,"positive",0.0142308610591023
"289","3",3,"positive",0.032450942090783
"290","3",3,"positive",0.0104831151978508
"291","4",4,"positive",0.0457435802444818
"292","4",4,"positive",0.00523324515399514
"293","4",4,"positive",0.00566215049819829
"294","4",4,"positive",0.0266739756905701
"295","4",4,"positive",0.00540811040377627
"296","4",4,"positive",0.083796961425111
"297","4",4,"positive",0.00573636389381635
"298","4",4,"positive",0.0197904621335512
"299","4",4,"positive",0.00769575333780219
"300","4",4,"positive",0.0345416614403255
"301","5",5,"positive",0.0119495995293024
"302","5",5,"positive",0.0106354302854172
"303","5",5,"positive",0.00821787756526791
"304","5",5,"positive",0.172020701637929
"305","5",5,"positive",0.00747059490167619
"306","5",5,"positive",0.0267027672534421
"307","5",5,"positive",0.000688363119029522
"308","5",5,"positive",0.0169797583529601
"309","5",5,"positive",0.0133559814610495
"310","5",5,"positive",0.0359189333712559
"311","6",6,"positive",0.0119095510105757
"312","6",6,"positive",0.0152901142785081
"313","6",6,"positive",0.000686655689290235
"314","6",6,"positive",0.0220937344625353
"315","6",6,"positive",0.0363850144519653
"316","6",6,"positive",0.0512202573205448
"317","6",6,"positive",0.0186487323787364
"318","6",6,"positive",0.113076107029726
"319","6",6,"positive",0.00713587987681275
"320","6",6,"positive",0.0718593918783406
"321","7",7,"positive",0.0161176858188008
"322","7",7,"positive",0.084592962743456
"323","7",7,"positive",0.0329305708815412
"324","7",7,"positive",0.00555606023342073
"325","7",7,"positive",0.0888545477333377
"326","7",7,"positive",0.00136882626794143
"327","7",7,"positive",0.0650282254017958
"328","7",7,"positive",0.00406874892013645
"329","7",7,"positive",0.000148008745769146
"330","7",7,"positive",0.00819932927012904
"331","8",8,"positive",0.0859423687623611
"332","8",8,"positive",0.0130125386582769
"333","8",8,"positive",0.0358797342955041
"334","8",8,"positive",0.00639809981869432
"335","8",8,"positive",0.0780028975878029
"336","8",8,"positive",0.0371022097399478
"337","8",8,"positive",0.151847197462834
"338","8",8,"positive",0.258185885400666
"339","8",8,"positive",0.0623713337308841
"340","8",8,"positive",0.0166906969328547
"341","9",9,"positive",0.166935519979768
"342","9",9,"positive",0.0344510989517492
"343","9",9,"positive",0.0607311318202827
"344","9",9,"positive",0.0393340958882321
"345","9",9,"positive",0.00209873575520372
"346","9",9,"positive",0.183887041217282
"347","9",9,"positive",0.0382314699310544
"348","9",9,"positive",0.00156090341594533
"349","9",9,"positive",0.0411717341995172
"350","9",9,"positive",0.00172204612154585
"351","10",10,"positive",0.181035291229731
"352","10",10,"positive",0.00247907207299246
"353","10",10,"positive",0.00340171111676271
"354","10",10,"positive",0.00238558494652448
"355","10",10,"positive",0.00635225079666033
"356","10",10,"positive",0.00818935721240566
"357","10",10,"positive",0.0217533079595652
"358","10",10,"positive",0.00917827980504739
"359","10",10,"positive",0.0243132213631184
"360","10",10,"positive",0.0106979711261379
"361","11",11,"positive",0.0133987370289645
"362","11",11,"positive",0.00349742684397739
"363","11",11,"positive",0.062730830329354
"364","11",11,"positive",0.0103159295234812
"365","11",11,"positive",0.0010175183077514
"366","11",11,"positive",0.663180110663893
"367","11",11,"positive",0.090767956137052
"368","11",11,"positive",0.00914562971611159
"369","11",11,"positive",0.000313989286663625
"370","11",11,"positive",0.00492052578044241
"371","12",12,"positive",0.0539718273262382
"372","12",12,"positive",0.00980096436479878
"373","12",12,"positive",0.0937181810481666
"374","12",12,"positive",0.0135990418723185
"375","12",12,"positive",0.0109717860832391
"376","12",12,"positive",0.0154734730178642
"377","12",12,"positive",0.00918703083931653
"378","12",12,"positive",0.478920394586413
"379","12",12,"positive",0.17113319335966
"380","12",12,"positive",0.365434295095802
"381","13",13,"positive",0.888397651607928
"382","13",13,"positive",0.0120559672856961
"383","13",13,"positive",0.0171924765959856
"384","13",13,"positive",0.380555022764033
"385","13",13,"positive",0.056092814268963
"386","13",13,"positive",0.00226398336121223
"387","13",13,"positive",0.00572481274250704
"388","13",13,"positive",0.562053265339685
"389","13",13,"positive",0.0278706496877439
"390","13",13,"positive",0.0230666588063367
