"","studyName","studySub","site","subSiteID","Scale","fitSlope"
"1","Barrett","Barrett","Gov_fished","Barrett_Gov_fished_S","gamma",0.0185028325623853
"2","Barrett","Barrett","Gov_mpa","Barrett_Gov_mpa_S","gamma",0.0172415229118016
"3","Barrett","Barrett","Maria_fished","Barrett_Maria_fished_S","gamma",-0.00052937717450463
"4","Barrett","Barrett","Maria_mpa","Barrett_Maria_mpa_S","gamma",0.0101129850674462
"5","Barrett","Barrett","Tinder_fished","Barrett_Tinder_fished_S","gamma",0.00301335790094755
"6","Barrett","Barrett","Tinder_mpa","Barrett_Tinder_mpa_S","gamma",0.00872407924842798
"7","Bedford","Bedford","SMBAR10","Bedford_SMBAR10_S","gamma",0.0212380960624132
"8","Bedford","Bedford","SMBAR18","Bedford_SMBAR18_S","gamma",0.0265142182495543
"9","Bedford","Bedford","SMBAR3","Bedford_SMBAR3_S","gamma",0.00832735570518213
"10","BeetsFried03","BeetsFried03","FourSites","BeetsFried03_FourSites_S","gamma",9.4288527057156e-05
"11","Beldade","Beldade","Arrabida","Beldade_Arrabida_S","gamma",0.00878371493305602
"12","Beukema","Beukema","Wadden15","Beukema_Wadden15_S","gamma",0.00934788953280549
"13","BIOMON","BIOMON","coastal","BIOMON_coastal_R","alpha",0.00114133712856145
"14","BIOMON","BIOMON","Dogger Bank","BIOMON_Dogger Bank_R","alpha",-0.00488269933551893
"15","BIOMON","BIOMON","offshore","BIOMON_offshore_R","alpha",0.0109811093008288
"16","BIOMON","BIOMON","Oyster grounds","BIOMON_Oyster grounds_R","alpha",-0.00812451122460971
"17","Birchenough","Birchenough","St1","Birchenough_St1_R","alpha",0.00430580332312107
"18","Birchenough","Birchenough","St2","Birchenough_St2_R","alpha",-0.00116346654724284
"19","Birchenough","Birchenough","St5","Birchenough_St5_R","alpha",-0.00174390404250009
"20","Birchenough","Birchenough","St7","Birchenough_St7_R","alpha",-0.000353888043114733
"21","Birkeland","Birkeland","SC","Birkeland_SC_R","alpha",0.00533690381465649
"22","Birkeland","Birkeland","SC","Birkeland_SC_S","gamma",0.00647421049954052
"23","Bollens","Bollens","CenBay","Bollens_CenBay_R","alpha",0.006732774793445
"24","Bollens","Bollens","SanPabBay","Bollens_SanPabBay_R","alpha",-0.00263730291304211
"25","Bollens","Bollens","SouBay","Bollens_SouBay_R","alpha",0.00548461918729413
"26","Carballo","Carballo","Venados","Carballo_Venados_R","alpha",0.0529514614608953
"27","Cardoso","Cardoso","Eutrophic","Cardoso_Eutrophic_S","gamma",-0.0339107661038189
"28","Cardoso","Cardoso","Intermediate","Cardoso_Intermediate_S","gamma",-0.0351517724959183
"29","Cardoso","Cardoso","Zostera","Cardoso_Zostera_S","gamma",-0.0440495992112794
"30","Deidun","Deidun","Salini","Deidun_Salini_S","gamma",0.0242100343306619
"31","Deidun","Deidun","Selmun","Deidun_Selmun_S","gamma",0.0180947847652841
"32","Deidun","Deidun","Xatt","Deidun_Xatt_S","gamma",0.0161967202549137
"33","Dittmann","Dittmann","HCA","Dittmann_HCA_R","alpha",0.000109228512636494
